Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,1024,4096,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,27262976,8598323200,0.573991,44.2352,14979.9
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,2048,8192,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,109051904,68753031168,4.18315,24.2789,16435.7
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,3072,12288,3072,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,245366784,232003731456,13.0668,17.4883,17755.2
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,4096,16384,4096,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,436207616,549890031616,30.6,13.2762,17970.3
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,5120,20480,5120,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,681574400,1073951539200,60.904,10.4224,17633.5
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,6144,24576,6144,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,981467136,1855727861760,103.873,8.79978,17865.3
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,7168,28672,7168,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1335885824,2946758606848,164.029,7.58489,17964.9
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,8192,32768,8192,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1744830464,4398583382016,243.623,6.67014,18054.9
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,9216,36864,9216,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,2208301056,6262741794816,429.181,4.79202,14592.3
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,10240,40960,10240,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,2726297600,8590773452800,741.318,3.42507,11588.5
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,1024,4096,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,27262976,8598323200,0.37094,68.4493,23179.8
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,1024,4096,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,27262976,8598323200,0.365771,69.4168,23507.4
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,2048,8192,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,109051904,68753031168,2.69661,37.6631,25496.1
